partner_id,partner_name,partner_code,institution_type,state,district,matched_entity_id,matched_entity_name,match_level,confidence,match_reason
7db7745d-c7ef-4a6a-b974-37cf81e3dcb0,Manipur Manipur Tribal Development Lamphelpat,SCA-8D6A057E,STATE_CHANNELIZING_AGENCY,,,,,UNMATCHED,0.0,No verified statutory entity could be matched with confidence >= 0.70 for 'Manipur Manipur Tribal Development Lamphelpat'
8c1e52d8-4794-4a67-bbe8-5491be1dba65,Manipur Manipur SCs & STs Co- Nambun Long,SCA-3D35CA43,STATE_CHANNELIZING_AGENCY,,,,,UNMATCHED,0.0,No verified statutory entity could be matched with confidence >= 0.70 for 'Manipur Manipur SCs & STs Co- Nambun Long'
67c75e7a-ede3-4bdb-bd6e-34c9fd6e07e9,Meghalaya Meghalaya Cooperative Apex M.G. Road,SCA-F871886F,STATE_CHANNELIZING_AGENCY,,,,,UNMATCHED,0.0,No verified statutory entity could be matched with confidence >= 0.70 for 'Meghalaya Meghalaya Cooperative Apex M.G. Road'
92aadc27-8e04-4a69-93dc-f4757630c217,Mizoram Mizoram Urban Cooperative Lawlsawmiliani Building (Top Development Bank,SCA-95C619DE,STATE_CHANNELIZING_AGENCY,,,,,UNMATCHED,0.0,No verified statutory entity could be matched with confidence >= 0.70 for 'Mizoram Mizoram Urban Cooperative Lawlsawmiliani Building (Top Development Bank'
db41c644-0f8b-498b-bb7a-6e34ece52c9e,Mizoram Mizoram Khadi & Village “Zorun” Zarkawt,SCA-12CF538A,STATE_CHANNELIZING_AGENCY,,,,,UNMATCHED,0.0,No verified statutory entity could be matched with confidence >= 0.70 for 'Mizoram Mizoram Khadi & Village “Zorun” Zarkawt'
df3569c4-dd81-48df-82e1-3fa9df8c5ebc,Odisha Odisha SCs & STs Dev. Finance Lewis Road,SCA-2C185AE9,STATE_CHANNELIZING_AGENCY,,,,,UNMATCHED,0.0,No verified statutory entity could be matched with confidence >= 0.70 for 'Odisha Odisha SCs & STs Dev. Finance Lewis Road'
96fb9e7c-25b5-4b25-b204-e110f2787963,Puducherry Puducherry Adi Dravidar Dev. III Floor,SCA-E442E144,STATE_CHANNELIZING_AGENCY,,,,,UNMATCHED,0.0,No verified statutory entity could be matched with confidence >= 0.70 for 'Puducherry Puducherry Adi Dravidar Dev. III Floor'
67dbdc37-f939-41a5-8a62-e8a38a5fc4c6,Punjab Punjab Scheduled Castes Land SCO No.101-102-103,SCA-E10A9135,STATE_CHANNELIZING_AGENCY,,,a7bcae88-deb9-445e-ad62-fccd801ee711,Punjab Scheduled Castes Land Development and Finance Corporation,MATCH_LEVEL_4,0.88,Official alias match 'Punjab Punjab Scheduled Castes Land SCO No.101-102-103' -> Punjab Scheduled Castes Land Development and Finance Corporation (Source: PB_GOVERNMENT_DIRECTORY)
7021766c-5197-48e4-86bc-492114f27ff7,Rajasthan Rajasthan SCs & STs Fin. & III Floor,SCA-7AF15BB0,STATE_CHANNELIZING_AGENCY,,,0c0284aa-37bd-4ffb-82ae-755b7448c430,Rajasthan SC and ST Finance and Development Cooperative Corporation,MATCH_LEVEL_4,0.88,Official alias match 'Rajasthan Rajasthan SCs & STs Fin. & III Floor' -> Rajasthan SC and ST Finance and Development Cooperative Corporation (Source: RJ_GOVERNMENT_DIRECTORY)
0a46cfdd-0140-4eeb-8794-91d667dcad40,Sikkim Sikkim Scheduled Castes Bhanupath,SCA-E95D97C4,STATE_CHANNELIZING_AGENCY,,,253f0645-f6bd-49eb-80d2-9a4e33f43050,"Sikkim Scheduled Castes, Scheduled Tribes & Other Backward Classes Development Corporation",MATCH_LEVEL_4,0.88,"Official alias match 'Sikkim Sikkim Scheduled Castes Bhanupath' -> Sikkim Scheduled Castes, Scheduled Tribes & Other Backward Classes Development Corporation (Source: SK_GOVERNMENT_DIRECTORY)"
0c63b32c-1786-4832-8f35-c749ba391ba9,Tamil Nadu Tamil Nadu Adi Dravidar No.31,SCA-47532287,STATE_CHANNELIZING_AGENCY,,,16a33b96-3fdc-41e8-a940-15de06e33fae,Tamil Nadu Adi Dravidar Housing and Development Corporation (TAHDCO),MATCH_LEVEL_4,0.88,Official alias match 'Tamil Nadu Tamil Nadu Adi Dravidar No.31' -> Tamil Nadu Adi Dravidar Housing and Development Corporation (TAHDCO) (Source: TN_GOVERNMENT_DIRECTORY)
53752b86-4597-4117-be7c-5a8b75325407,Tripura Tripura Scheduled Castes Krishna Nagar P.O. Lake Chomubani,SCA-7166B47D,STATE_CHANNELIZING_AGENCY,,,961ec547-53ae-4b96-bbe0-2be111c6888a,Tripura Scheduled Castes Cooperative Development Corporation,MATCH_LEVEL_4,0.88,Official alias match 'Tripura Tripura Scheduled Castes Krishna Nagar P.O. Lake Chomubani' -> Tripura Scheduled Castes Cooperative Development Corporation (Source: TR_GOVERNMENT_DIRECTORY)
