partner_id,partner_name,institution_type,matched_entity,match_level,confidence,reason,financial_data_attached
0a46cfdd-0140-4eeb-8794-91d667dcad40,Sikkim Sikkim Scheduled Castes Bhanupath,STATE_CHANNELIZING_AGENCY,"Sikkim Scheduled Castes, Scheduled Tribes & Other Backward Classes Development Corporation",MATCH_LEVEL_4,0.88,"Official alias match 'Sikkim Sikkim Scheduled Castes Bhanupath' -> Sikkim Scheduled Castes, Scheduled Tribes & Other Backward Classes Development Corporation (Source: SK_GOVERNMENT_DIRECTORY)",True
PARTNER-UP-LKO-SIDBI-01,Small Industries Development Bank of India (SIDBI) Head Office,STATUTORY_FINANCIAL_CORPORATION,Small Industries Development Bank of India (SIDBI),MATCH_LEVEL_2,0.98,Exact canonical name match: Small Industries Development Bank of India (SIDBI),True
a8acf321-79fc-4c4f-8625-f53474865bfc,State Bank of India (SBI) Corporate Centre,PSB,State Bank of India,MATCH_LEVEL_3,0.92,"Normalized name match with State Bank of India (Type: PUBLIC_SECTOR_BANK, State: Maharashtra)",True
bd179031-c8fc-4128-971f-1d1ca1ae4124,State Bank of India (SBI) Local Head Office New Delhi,PSB,State Bank of India,MATCH_LEVEL_3,0.92,"Normalized name match with State Bank of India (Type: PUBLIC_SECTOR_BANK, State: Delhi)",True
PARTNER-GKP-RSETI-01,State Bank of India Rural Self Employment Training Institute (SBI RSETI) Gorakhpur,RSETI_TRAINING_INSTITUTE,State Bank of India,MATCH_LEVEL_5,0.75,Conservative brand identifier match for 'STATE BANK OF INDIA' -> State Bank of India,True
c30f1d8c-df01-4717-ae7f-a4727b503ff4,Streenidhi,FINANCIAL_INSTITUTION,Streenidhi Credit Cooperative Federation Ltd,MATCH_LEVEL_3,0.92,"Normalized name match with Streenidhi Credit Cooperative Federation Ltd (Type: COOPERATIVE_BANK, State: None)",True
86999842-c677-4406-a501-48eb9e76fabd,Streenidhi AP,FINANCIAL_INSTITUTION,Streenidhi Credit Cooperative Federation Ltd,MATCH_LEVEL_4,0.88,Official alias match 'Streenidhi' -> Streenidhi Credit Cooperative Federation Ltd (Source: COOPERATIVE_REGISTRAR),True
b7733384-4a52-4b12-ba53-0181f8098fa6,Tamil Nadu Adi Dravidar Housing and Development Corporation (TAHDCO),SCA,Tamil Nadu Adi Dravidar Housing and Development Corporation (TAHDCO),MATCH_LEVEL_2,0.98,Exact canonical name match: Tamil Nadu Adi Dravidar Housing and Development Corporation (TAHDCO),True
5fbd0539-07aa-4ffb-83c3-cff7ede183b0,Tamil Nadu Grama Bank,REGIONAL_RURAL_BANK,Tamil Nadu Grama Bank,MATCH_LEVEL_2,0.98,Exact canonical name match: Tamil Nadu Grama Bank,True
953a6e5c-3ec7-4be6-aee7-94b24e212778,Tamil Nadu Grama Bank Head Office Salem,RRB,Tamil Nadu Grama Bank,MATCH_LEVEL_3,0.92,"Normalized name match with Tamil Nadu Grama Bank (Type: REGIONAL_RURAL_BANK, State: Tamil Nadu)",True
0c63b32c-1786-4832-8f35-c749ba391ba9,Tamil Nadu Tamil Nadu Adi Dravidar No.31,STATE_CHANNELIZING_AGENCY,Tamil Nadu Adi Dravidar Housing and Development Corporation (TAHDCO),MATCH_LEVEL_4,0.88,Official alias match 'Tamil Nadu Tamil Nadu Adi Dravidar No.31' -> Tamil Nadu Adi Dravidar Housing and Development Corporation (TAHDCO) (Source: TN_GOVERNMENT_DIRECTORY),True
4aad9936-f656-41f2-8a4b-026dea48ac44,Telangana Grameena Bank,REGIONAL_RURAL_BANK,Telangana Grameena Bank,MATCH_LEVEL_2,0.98,Exact canonical name match: Telangana Grameena Bank,True
83752b0f-14ca-4f50-86de-c8ca42c4e0e4,Tikiapara,REGIONAL_RURAL_BANK,NONE,UNMATCHED,0.00,No verified statutory entity could be matched with confidence >= 0.70 for 'Tikiapara',False
ea995f14-d3f4-44a2-9fa2-5a0c24a0631c,Tripura Gramin Bank,REGIONAL_RURAL_BANK,Tripura Gramin Bank,MATCH_LEVEL_2,0.98,Exact canonical name match: Tripura Gramin Bank,True
53752b86-4597-4117-be7c-5a8b75325407,Tripura Tripura Scheduled Castes Krishna Nagar P.O. Lake Chomubani,STATE_CHANNELIZING_AGENCY,Tripura Scheduled Castes Cooperative Development Corporation,MATCH_LEVEL_4,0.88,Official alias match 'Tripura Tripura Scheduled Castes Krishna Nagar P.O. Lake Chomubani' -> Tripura Scheduled Castes Cooperative Development Corporation (Source: TR_GOVERNMENT_DIRECTORY),True
9e0c0f81-a704-4a8c-9767-984568b82f9a,UCO Bank,PUBLIC_SECTOR_BANK,UCO Bank,MATCH_LEVEL_2,0.98,Exact canonical name match: UCO Bank,True
c0d66564-e402-4c27-8540-d5ac1a42a82a,UCO Bank Head Office Kolkata,PSB,UCO Bank,MATCH_LEVEL_3,0.92,"Normalized name match with UCO Bank (Type: PUBLIC_SECTOR_BANK, State: West Bengal)",True
394c1244-ced5-4681-8195-47fc0f53d124,Ujjiwan Small Finance Bank Small Finance Bank- 02,FINANCIAL_INSTITUTION,Ujjivan Small Finance Bank,MATCH_LEVEL_4,0.88,Official alias match 'Ujjiwan Small Finance Bank Small Finance Bank- 02' -> Ujjivan Small Finance Bank (Source: RBI_DIRECTORY),True
498e27ae-2629-45bd-b50d-d44c27615b09,Union Bank of India,PUBLIC_SECTOR_BANK,Union Bank of India,MATCH_LEVEL_2,0.98,Exact canonical name match: Union Bank of India,True
3f79f6a3-4910-4755-8a65-7e0300385eaf,Union Bank of India Corporate Head Office,PSB,Union Bank of India,MATCH_LEVEL_3,0.92,"Normalized name match with Union Bank of India (Type: PUBLIC_SECTOR_BANK, State: Maharashtra)",True
PARTNER-UP-VNS-UBI-01,Union Bank of India MSME Branch Varanasi,PUBLIC_SECTOR_BANK,Union Bank of India,MATCH_LEVEL_3,0.92,"Normalized name match with Union Bank of India (Type: PUBLIC_SECTOR_BANK, State: Uttar Pradesh)",True
PARTNER-GKP-UBI-01,Union Bank of India Regional Office & Branch Gorakhpur,PUBLIC_SECTOR_BANK,Union Bank of India,MATCH_LEVEL_3,0.92,"Normalized name match with Union Bank of India (Type: PUBLIC_SECTOR_BANK, State: Uttar Pradesh)",True
e4f6f87a-8b1d-4eed-b184-2e55060a30fa,Uttar Pradesh Gramin Bank,REGIONAL_RURAL_BANK,Baroda U.P. Bank,MATCH_LEVEL_4,0.88,Official alias match 'Baroda Uttar Pradesh Gramin Bank' -> Baroda U.P. Bank (Source: DFS_RRB_AMALGAMATION_2020),True
PARTNER-UP-DEO-UPSCFDC-01,Uttar Pradesh Scheduled Caste Finance and Development Corporation (UPSCFDC) Deoria,STATE_CHANNELIZING_AGENCY,Uttar Pradesh Scheduled Caste Finance and Development Corporation (UPSCFDC),MATCH_LEVEL_3,0.92,"Normalized name match with Uttar Pradesh Scheduled Caste Finance and Development Corporation (UPSCFDC) (Type: STATE_CHANNELIZING_AGENCY, State: Uttar Pradesh)",True
PARTNER-GKP-UPSCFDC-01,Uttar Pradesh Scheduled Caste Finance and Development Corporation (UPSCFDC) Gorakhpur,STATE_CHANNELIZING_AGENCY,Uttar Pradesh Scheduled Caste Finance and Development Corporation (UPSCFDC),MATCH_LEVEL_3,0.92,"Normalized name match with Uttar Pradesh Scheduled Caste Finance and Development Corporation (UPSCFDC) (Type: STATE_CHANNELIZING_AGENCY, State: Uttar Pradesh)",True
PARTNER-UP-LKO-UPSCFDC-01,Uttar Pradesh Scheduled Caste Finance and Development Corporation (UPSCFDC) Head Office,STATE_CHANNELIZING_AGENCY,Uttar Pradesh Scheduled Caste Finance and Development Corporation (UPSCFDC),MATCH_LEVEL_2,0.98,Exact canonical name match: Uttar Pradesh Scheduled Caste Finance and Development Corporation (UPSCFDC),True
PARTNER-UP-VNS-UPSCFDC-01,Uttar Pradesh Scheduled Caste Finance and Development Corporation (UPSCFDC) Varanasi,STATE_CHANNELIZING_AGENCY,Uttar Pradesh Scheduled Caste Finance and Development Corporation (UPSCFDC),MATCH_LEVEL_3,0.92,"Normalized name match with Uttar Pradesh Scheduled Caste Finance and Development Corporation (UPSCFDC) (Type: STATE_CHANNELIZING_AGENCY, State: Uttar Pradesh)",True
98346956-4962-402c-b788-300f75c71dd2,Uttar Pradesh UP Sahkari Gram Vikas Bank 10,STATE_CHANNELIZING_AGENCY,Uttar Pradesh Sahkari Gram Vikas Bank,MATCH_LEVEL_4,0.88,Official alias match 'UP Sahkari Gram Vikas Bank 10' -> Uttar Pradesh Sahkari Gram Vikas Bank (Source: UP_GOVERNMENT_DIRECTORY),True
3b1305ce-89dc-480b-a129-358964ccf9f5,Uttar Pradesh UP Scheduled Castes Finance & B-912,STATE_CHANNELIZING_AGENCY,Uttar Pradesh Scheduled Caste Finance and Development Corporation (UPSCFDC),MATCH_LEVEL_4,0.88,Official alias match 'Uttar Pradesh UP Scheduled Castes Finance & B-912' -> Uttar Pradesh Scheduled Caste Finance and Development Corporation (UPSCFDC) (Source: UP_GOVERNMENT_DIRECTORY),True
41804e4e-ea64-429a-8990-cf647fdde1af,Uttarakhand Gramin Bank,REGIONAL_RURAL_BANK,Uttarakhand Gramin Bank,MATCH_LEVEL_2,0.98,Exact canonical name match: Uttarakhand Gramin Bank,True
74de50cc-1bad-4e37-8bd7-a2e8b42d8d8f,Uttarakhand Gramin Bank Head Office Dehradun,RRB,Uttarakhand Gramin Bank,MATCH_LEVEL_3,0.92,"Normalized name match with Uttarakhand Gramin Bank (Type: REGIONAL_RURAL_BANK, State: Uttarakhand)",True
61cb0b78-2ff9-45d2-9453-04be897ec89e,Uttarakhand Uttarakhand Bahu-udeshiya Vitta Janjati Directorate,STATE_CHANNELIZING_AGENCY,Uttarakhand Bahu-uddeshiya Vitta Evam Vikas Nigam,MATCH_LEVEL_4,0.88,Official alias match 'Uttarakhand Uttarakhand Bahu-udeshiya Vitta Janjati Directorate' -> Uttarakhand Bahu-uddeshiya Vitta Evam Vikas Nigam (Source: UK_GOVERNMENT_DIRECTORY),True
9b05cbeb-1a9f-4f46-86d7-6ca2ff484d02,Vector Finance PVT LTD RO-K7/110,MICRO_FINANCE_INSTITUTION,Vector Finance Pvt Ltd,MATCH_LEVEL_3,0.92,"Normalized name match with Vector Finance Pvt Ltd (Type: NBFC_MFI, State: None)",True
0ae9941f-fbf2-4efc-8faf-a137d091e4d0,West Bengal Gramin Bank No.441,REGIONAL_RURAL_BANK,Paschim Banga Gramin Bank,MATCH_LEVEL_4,0.88,Official alias match 'West Bengal Gramin Bank No.441' -> Paschim Banga Gramin Bank (Source: GOVERNMENT_DIRECTORY),True
594d516d-41d7-4435-9ff8-255c67d599f4,"West Bengal SC, ST & OBC Development & Finance Corporation",SCA,"West Bengal SC, ST & OBC Development & Finance Corporation",MATCH_LEVEL_2,0.98,"Exact canonical name match: West Bengal SC, ST & OBC Development & Finance Corporation",True
f2c9e004-271c-4e0e-92a1-52c816fd2a14,West Bengal West Bengal SCs,STATE_CHANNELIZING_AGENCY,"West Bengal SC, ST & OBC Development & Finance Corporation",MATCH_LEVEL_4,0.88,"Official alias match 'West Bengal West Bengal SCs' -> West Bengal SC, ST & OBC Development & Finance Corporation (Source: WB_GOVERNMENT_DIRECTORY)",True
f39947ab-d137-47f3-9917-cdc83f121fe6,e-Gram / CSC Citizen Facilitation Centre Ahmedabad,CSC,CSC e-Governance Services India Limited,MATCH_LEVEL_4,0.88,Official alias match 'CSC' -> CSC e-Governance Services India Limited (Source: MEITY_DIRECTORY),True
4c178627-5223-433c-8a2f-718c8b8e4620,th Floor,PUBLIC_SECTOR_BANK,NONE,UNMATCHED,0.00,No verified statutory entity could be matched with confidence >= 0.70 for 'th Floor',False
