partner_id,partner_name,scheme_id,service_type,authorization_level,source_url,verification_status
5e2320dc-c748-45c4-a96a-65de1b4fac5a,Andhra Pradesh Andhra Pradesh Scheduled SP River View Apartments,SIH26092-010,FINANCING,SCHEME_ROUTE_VERIFIED,https://nsfdc.nic.in/storage/channel-partners/attachments/20260401_164458_Ip6UJm.pdf,VERIFIED_OFFICIAL
5e2320dc-c748-45c4-a96a-65de1b4fac5a,Andhra Pradesh Andhra Pradesh Scheduled SP River View Apartments,SIH26092-053,FINANCING,SCHEME_ROUTE_VERIFIED,https://nsfdc.nic.in/storage/channel-partners/attachments/20260401_164458_Ip6UJm.pdf,VERIFIED_OFFICIAL
5e2320dc-c748-45c4-a96a-65de1b4fac5a,Andhra Pradesh Andhra Pradesh Scheduled SP River View Apartments,SIH26092-054,FINANCING,SCHEME_ROUTE_VERIFIED,https://nsfdc.nic.in/storage/channel-partners/attachments/20260401_164458_Ip6UJm.pdf,VERIFIED_OFFICIAL
5e2320dc-c748-45c4-a96a-65de1b4fac5a,Andhra Pradesh Andhra Pradesh Scheduled SP River View Apartments,SIH26092-055,FINANCING,SCHEME_ROUTE_VERIFIED,https://nsfdc.nic.in/storage/channel-partners/attachments/20260401_164458_Ip6UJm.pdf,VERIFIED_OFFICIAL
5e2320dc-c748-45c4-a96a-65de1b4fac5a,Andhra Pradesh Andhra Pradesh Scheduled SP River View Apartments,SIH26092-056,FINANCING,SCHEME_ROUTE_VERIFIED,https://nsfdc.nic.in/storage/channel-partners/attachments/20260401_164458_Ip6UJm.pdf,VERIFIED_OFFICIAL
5fbd0539-07aa-4ffb-83c3-cff7ede183b0,Tamil Nadu Grama Bank,SIH26092-001,FINANCING,SCHEME_ROUTE_VERIFIED,https://nsfdc.nic.in/storage/channel-partners/attachments/20260401_163145_9tiTZM.pdf,VERIFIED_OFFICIAL
5fbd0539-07aa-4ffb-83c3-cff7ede183b0,Tamil Nadu Grama Bank,SIH26092-002,FINANCING,SCHEME_ROUTE_VERIFIED,https://nsfdc.nic.in/storage/channel-partners/attachments/20260401_163145_9tiTZM.pdf,VERIFIED_OFFICIAL
5fbd0539-07aa-4ffb-83c3-cff7ede183b0,Tamil Nadu Grama Bank,SIH26092-052,FINANCING,SCHEME_ROUTE_VERIFIED,https://nsfdc.nic.in/storage/channel-partners/attachments/20260401_163145_9tiTZM.pdf,VERIFIED_OFFICIAL
5fbd0539-07aa-4ffb-83c3-cff7ede183b0,Tamil Nadu Grama Bank,SIH26092-053,FINANCING,SCHEME_ROUTE_VERIFIED,https://nsfdc.nic.in/storage/channel-partners/attachments/20260401_163145_9tiTZM.pdf,VERIFIED_OFFICIAL
5fbd0539-07aa-4ffb-83c3-cff7ede183b0,Tamil Nadu Grama Bank,SIH26092-055,FINANCING,SCHEME_ROUTE_VERIFIED,https://nsfdc.nic.in/storage/channel-partners/attachments/20260401_163145_9tiTZM.pdf,VERIFIED_OFFICIAL
61cb0b78-2ff9-45d2-9453-04be897ec89e,Uttarakhand Uttarakhand Bahu-udeshiya Vitta Janjati Directorate,SIH26092-010,FINANCING,SCHEME_ROUTE_VERIFIED,https://nsfdc.nic.in/storage/channel-partners/attachments/20260401_164458_Ip6UJm.pdf,VERIFIED_OFFICIAL
61cb0b78-2ff9-45d2-9453-04be897ec89e,Uttarakhand Uttarakhand Bahu-udeshiya Vitta Janjati Directorate,SIH26092-053,FINANCING,SCHEME_ROUTE_VERIFIED,https://nsfdc.nic.in/storage/channel-partners/attachments/20260401_164458_Ip6UJm.pdf,VERIFIED_OFFICIAL
61cb0b78-2ff9-45d2-9453-04be897ec89e,Uttarakhand Uttarakhand Bahu-udeshiya Vitta Janjati Directorate,SIH26092-054,FINANCING,SCHEME_ROUTE_VERIFIED,https://nsfdc.nic.in/storage/channel-partners/attachments/20260401_164458_Ip6UJm.pdf,VERIFIED_OFFICIAL
61cb0b78-2ff9-45d2-9453-04be897ec89e,Uttarakhand Uttarakhand Bahu-udeshiya Vitta Janjati Directorate,SIH26092-055,FINANCING,SCHEME_ROUTE_VERIFIED,https://nsfdc.nic.in/storage/channel-partners/attachments/20260401_164458_Ip6UJm.pdf,VERIFIED_OFFICIAL
61cb0b78-2ff9-45d2-9453-04be897ec89e,Uttarakhand Uttarakhand Bahu-udeshiya Vitta Janjati Directorate,SIH26092-056,FINANCING,SCHEME_ROUTE_VERIFIED,https://nsfdc.nic.in/storage/channel-partners/attachments/20260401_164458_Ip6UJm.pdf,VERIFIED_OFFICIAL
67c75e7a-ede3-4bdb-bd6e-34c9fd6e07e9,Meghalaya Meghalaya Cooperative Apex M.G. Road,SIH26092-010,FINANCING,SCHEME_ROUTE_VERIFIED,https://nsfdc.nic.in/storage/channel-partners/attachments/20260401_164458_Ip6UJm.pdf,VERIFIED_OFFICIAL
67c75e7a-ede3-4bdb-bd6e-34c9fd6e07e9,Meghalaya Meghalaya Cooperative Apex M.G. Road,SIH26092-053,FINANCING,SCHEME_ROUTE_VERIFIED,https://nsfdc.nic.in/storage/channel-partners/attachments/20260401_164458_Ip6UJm.pdf,VERIFIED_OFFICIAL
67c75e7a-ede3-4bdb-bd6e-34c9fd6e07e9,Meghalaya Meghalaya Cooperative Apex M.G. Road,SIH26092-054,FINANCING,SCHEME_ROUTE_VERIFIED,https://nsfdc.nic.in/storage/channel-partners/attachments/20260401_164458_Ip6UJm.pdf,VERIFIED_OFFICIAL
67c75e7a-ede3-4bdb-bd6e-34c9fd6e07e9,Meghalaya Meghalaya Cooperative Apex M.G. Road,SIH26092-055,FINANCING,SCHEME_ROUTE_VERIFIED,https://nsfdc.nic.in/storage/channel-partners/attachments/20260401_164458_Ip6UJm.pdf,VERIFIED_OFFICIAL
67c75e7a-ede3-4bdb-bd6e-34c9fd6e07e9,Meghalaya Meghalaya Cooperative Apex M.G. Road,SIH26092-056,FINANCING,SCHEME_ROUTE_VERIFIED,https://nsfdc.nic.in/storage/channel-partners/attachments/20260401_164458_Ip6UJm.pdf,VERIFIED_OFFICIAL
67dbdc37-f939-41a5-8a62-e8a38a5fc4c6,Punjab Punjab Scheduled Castes Land SCO No.101-102-103,SIH26092-010,FINANCING,SCHEME_ROUTE_VERIFIED,https://nsfdc.nic.in/storage/channel-partners/attachments/20260401_164458_Ip6UJm.pdf,VERIFIED_OFFICIAL
67dbdc37-f939-41a5-8a62-e8a38a5fc4c6,Punjab Punjab Scheduled Castes Land SCO No.101-102-103,SIH26092-053,FINANCING,SCHEME_ROUTE_VERIFIED,https://nsfdc.nic.in/storage/channel-partners/attachments/20260401_164458_Ip6UJm.pdf,VERIFIED_OFFICIAL
67dbdc37-f939-41a5-8a62-e8a38a5fc4c6,Punjab Punjab Scheduled Castes Land SCO No.101-102-103,SIH26092-054,FINANCING,SCHEME_ROUTE_VERIFIED,https://nsfdc.nic.in/storage/channel-partners/attachments/20260401_164458_Ip6UJm.pdf,VERIFIED_OFFICIAL
