partner_id,partner_name,institution_type,partner_category,source_url,source_type,verification_date,verified_fields,verification_status
6b8dc71e-28b2-47a6-8b9e-02a4c3bc94d7,Rajendra Place,PUBLIC_SECTOR_BANK,AUTHORIZED_SCHEME_PARTNER,https://nsfdc.nic.in/storage/channel-partners/attachments/20260408_100623_Bea3za.pdf,LIST OF PUBLIC SECTOR BANKS,2026-09-01,"name,institution_type,category,source_url,verification_status",VERIFIED_OFFICIAL
6f013d2e-1fe3-44e9-ae93-085861469e37,Assam Gramin Bank,REGIONAL_RURAL_BANK,AUTHORIZED_SCHEME_PARTNER,https://nsfdc.nic.in/storage/channel-partners/attachments/20260401_163145_9tiTZM.pdf,RRB,2026-09-01,"name,institution_type,category,source_url,verification_status",VERIFIED_OFFICIAL
6f90ae66-6b82-49eb-841f-673d8d6b16f5,Bihar Bihar State SCs Co-operative RN-212,STATE_CHANNELIZING_AGENCY,AUTHORIZED_SCHEME_PARTNER,https://nsfdc.nic.in/storage/channel-partners/attachments/20260401_164458_Ip6UJm.pdf,SCA,2026-09-01,"name,institution_type,category,source_url,verification_status",VERIFIED_OFFICIAL
7021766c-5197-48e4-86bc-492114f27ff7,Rajasthan Rajasthan SCs & STs Fin. & III Floor,STATE_CHANNELIZING_AGENCY,AUTHORIZED_SCHEME_PARTNER,https://nsfdc.nic.in/storage/channel-partners/attachments/20260401_164458_Ip6UJm.pdf,SCA,2026-09-01,"name,institution_type,category,source_url,verification_status",VERIFIED_OFFICIAL
770c5734-6c1a-4bbb-8f19-8514566ca5d3,Haryana Haryana SCs Fin. and SCO-2427-28,STATE_CHANNELIZING_AGENCY,AUTHORIZED_SCHEME_PARTNER,https://nsfdc.nic.in/storage/channel-partners/attachments/20260401_164458_Ip6UJm.pdf,STATE/UT-WISE LIST OF STATE CHANNELISING AGENCIES,2026-09-01,"name,institution_type,category,source_url,verification_status",VERIFIED_OFFICIAL
7db7745d-c7ef-4a6a-b974-37cf81e3dcb0,Manipur Manipur Tribal Development Lamphelpat,STATE_CHANNELIZING_AGENCY,AUTHORIZED_SCHEME_PARTNER,https://nsfdc.nic.in/storage/channel-partners/attachments/20260401_164458_Ip6UJm.pdf,STATE/UT-WISE LIST OF STATE CHANNELISING AGENCIES,2026-09-01,"name,institution_type,category,source_url,verification_status",VERIFIED_OFFICIAL
7dece241-4db8-48de-9be3-5719921ebbf0,Punjab National Bank,PUBLIC_SECTOR_BANK,AUTHORIZED_SCHEME_PARTNER,https://nsfdc.nic.in/storage/channel-partners/attachments/20260408_100623_Bea3za.pdf,PSB,2026-09-01,"name,institution_type,category,source_url,verification_status",VERIFIED_OFFICIAL
81510aa2-0a9a-455e-87d8-26dbbd5d4da2,Mizoram Rural Bank,REGIONAL_RURAL_BANK,AUTHORIZED_SCHEME_PARTNER,https://nsfdc.nic.in/storage/channel-partners/attachments/20260401_163145_9tiTZM.pdf,RRB,2026-09-01,"name,institution_type,category,source_url,verification_status",VERIFIED_OFFICIAL
83752b0f-14ca-4f50-86de-c8ca42c4e0e4,Tikiapara,REGIONAL_RURAL_BANK,AUTHORIZED_SCHEME_PARTNER,https://nsfdc.nic.in/storage/channel-partners/attachments/20260401_163145_9tiTZM.pdf,RRB,2026-09-01,"name,institution_type,category,source_url,verification_status",VERIFIED_OFFICIAL
84279d00-97a4-4cba-b189-687bfb6848e6,Rajasthan Gramin Bank,REGIONAL_RURAL_BANK,AUTHORIZED_SCHEME_PARTNER,https://nsfdc.nic.in/storage/channel-partners/attachments/20260401_163145_9tiTZM.pdf,RRB,2026-09-01,"name,institution_type,category,source_url,verification_status",VERIFIED_OFFICIAL
